2023-04-08 15:27:49,156:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Neustadt-Süd |                                                Meister-Gerhard-Str.                    
2023-04-08 15:27:49,157:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Sülz |                                                Wichterichstraße 4                    
2023-04-08 15:27:49,159:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Mülheim |                                                Keup straße119                    
2023-04-08 15:27:49,160:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Belgisches Viertel |                                                Brüsseler Straße 4                    
2023-04-08 15:27:49,160:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Altstadt-Nord |                                                Greesbergstraße                    
2023-04-08 15:27:49,161:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Lövenich |                                                Zaunstraße                    
2023-04-08 15:27:49,162:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Lindenthal |                                                Mommsenstraße                    
2023-04-08 15:27:49,162:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Bocklemünd/Mengenich |                                                Untere Dorfstr.                    
2023-04-08 15:27:49,162:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        belgisches Viertel |                                                Lütticher Straße 10                    
2023-04-08 15:27:49,163:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Kwartier Latäng |                                                Roonstraße                    
2023-04-08 15:27:49,164:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Agnesviertel |                                                Melchiorstr. 10                    
2023-04-08 15:27:49,164:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Ostheim |                                                Zehnthofstraße 21a                    
2023-04-08 15:27:49,165:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Nippes |                                                Balthasarstr                    
2023-04-08 15:27:49,165:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Altstadt-Süd |                                                Im Weichserhof 3                    
2023-04-08 15:27:49,166:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Ehrenfeld |                                                Keplerstrasse                    
2023-04-08 15:27:49,166:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Kalk |                                                70                    
2023-04-08 15:27:49,167:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Rodenkirchen |                                                Sürther Feldallee 12                    
2023-04-08 15:30:13,084:                        2er WG                           |                                                                                    Köln                                                        Bickendorf |                                                Feltenstr                     
2023-04-08 15:30:13,084:                        2er WG                           |                                                                                    Köln                                                        Sülz |                                                Nikolausstr.131                     
